Iteration,Discriminator Loss,Generator Loss
0,0.840127,0.676726
10,0.467646,1.017184
20,0.164314,1.893519
30,0.014084,4.297108
40,0.000539,7.589013
50,0.000012,11.403139
60,0.000019,12.734491
70,0.295153,10.521938
80,0.545730,6.901818
90,0.709025,4.756675
100,0.918387,3.009695
110,0.807315,3.054335
120,0.958345,2.479888
130,0.862920,2.354984
140,0.979215,2.287956
150,1.368967,1.906479
160,1.889487,4.157023
170,8.625940,0.873219
180,2.670881,0.624019
190,2.877569,5.297351
200,7.619474,2.720955
210,2.388469,5.362919
220,11.400639,2.026644
230,8.682207,3.593359
240,10.153004,4.369165
250,5.232960,8.221361
260,9.138782,0.000036
270,11.942783,2.366310
280,4.220971,8.836467
290,4.064601,7.921526
300,17.625017,0.240870
310,3.318135,7.430005
320,16.160727,0.435041
330,12.773030,0.000001
340,2.091144,2.966333
350,4.390949,0.000001
360,4.148006,0.000194
370,14.178072,0.000008
380,17.488842,0.771755
390,9.127809,0.000023
400,9.587190,0.000042
410,4.087965,0.006294
420,4.808635,0.000035
430,10.446177,0.052531
440,3.808291,0.000105
450,2.338283,0.000067
460,10.893784,13.565414
470,0.564481,0.448119
480,0.558524,10.814304
490,0.816328,0.030367
500,1.506168,4.979317
510,5.331027,9.854947
520,3.027269,0.021317
530,1.763313,0.668510
540,5.146867,13.674572
550,2.846113,11.336852
560,1.181948,3.357151
570,2.142069,5.735206
580,2.077385,5.460269
590,3.005853,2.402566
600,2.840379,2.593501
610,2.790888,2.340766
620,1.110078,2.267375
630,2.546067,2.188193
640,2.703478,2.051821
650,0.836534,2.389902
660,1.409201,0.177380
670,1.720282,0.258302
680,2.165512,0.327830
690,2.300617,0.657849
700,0.540979,0.985107
710,3.387369,0.060598
720,1.966353,0.463901
730,1.098794,2.758142
740,1.070418,1.976275
750,1.019388,0.679585
760,0.947395,0.874620
770,0.775943,0.643787
780,0.840026,0.572748
790,1.011304,0.597998
800,1.023471,1.619719
810,0.909395,0.585689
820,1.002842,0.678810
830,0.799003,0.568662
840,1.016060,0.676264
850,0.792472,0.927349
860,0.961206,0.826721
870,0.913906,0.987410
880,0.879093,0.887991
890,1.069526,0.749085
900,0.979929,0.713601
910,0.936570,0.706528
920,0.972778,0.653336
930,0.964284,0.725885
940,1.007682,0.745344
950,0.970180,0.798235
960,0.951622,1.012134
970,1.024321,0.948651
980,1.017800,0.765117
990,1.008217,0.754872
1000,0.931859,1.419248
1010,0.936345,1.226393
1020,0.981338,0.998691
1030,1.059707,0.751507
1040,1.014588,1.140628
1050,1.004417,0.748848
1060,0.886425,0.892650
1070,0.883011,1.265548
1080,0.876470,1.356428
1090,0.947748,0.954436
1100,0.973921,0.914690
1110,0.941096,1.320737
1120,1.009760,1.323138
1130,0.947418,1.353200
1140,0.961866,1.274327
1150,0.950395,1.280158
1160,0.921584,1.173206
1170,0.854747,1.005752
1180,0.954380,0.784741
1190,1.043271,0.603724
1200,0.957599,0.814133
1210,1.026561,0.929241
1220,1.067828,0.969145
1230,1.143706,1.036358
1240,1.143213,0.815557
1250,1.115807,0.839882
1260,1.058716,1.052631
1270,0.992030,0.989948
1280,1.335766,0.747359
1290,1.358355,0.793825
1300,1.176933,0.836361
1310,0.955688,1.455564
1320,0.724202,3.266089
1330,0.726531,3.214714
1340,0.701673,3.449085
1350,0.778690,3.187695
1360,0.890946,2.527198
1370,0.903597,2.712089
1380,0.916656,2.392545
1390,0.960834,1.950687
1400,1.070490,1.524228
1410,1.030771,1.416884
1420,1.036853,1.417001
1430,1.123754,1.177371
1440,1.199886,0.949390
1450,1.244529,0.934060
1460,1.269624,0.962905
1470,1.270781,0.931519
1480,1.290343,0.959561
1490,1.329705,1.006302
1500,1.330486,1.003670
1510,1.249566,1.075195
1520,1.349313,0.735671
1530,1.265465,0.882537
1540,1.170863,1.074031
1550,1.187660,0.927408
1560,1.293694,0.627107
1570,1.376206,0.679840
1580,1.286580,0.764665
1590,1.316170,0.787746
1600,1.325083,0.831525
1610,1.351511,0.831925
1620,1.316025,0.708542
1630,1.288084,0.659357
1640,1.284561,0.679307
1650,1.240296,0.592536
1660,1.295727,0.837061
1670,1.351317,0.720582
1680,1.256824,0.688615
1690,1.320379,0.521039
1700,1.293023,0.546986
1710,1.286358,0.594939
1720,1.313829,0.630736
1730,1.285383,0.619010
1740,1.341599,0.551848
1750,1.270661,0.637130
